assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
129,39.2634436,-121.5062545,360,26210.46,PC2L-m-IND3-DF,6115041001,IND,IND3,PC2L,MC,PC2L-MC-IND3
130,39.2634436,-121.5062545,360,37117.21,RM1L-m-IND3-DF,6115041001,IND,IND3,RM1L,MC,RM1L-MC-IND3
131,39.2634436,-121.5062545,360,5139.306,S1L-l-IND3-DF,6115041001,IND,IND3,S1L,LC,S1L-LC-IND3
132,39.2634436,-121.5062545,360,27409.63,S1L-m-IND3-DF,6115041001,IND,IND3,S1L,MC,S1L-MC-IND3
133,39.2634436,-121.5062545,360,26553.08,S2L-m-IND3-DF,6115041001,IND,IND3,S2L,MC,S2L-MC-IND3
134,39.2634436,-121.5062545,360,16274.47,S3-m-IND3-DF,6115041001,IND,IND3,S3,MC,S3-MC-IND3
135,39.2634436,-121.5062545,360,5139.306,S4L-l-IND3-DF,6115041001,IND,IND3,S4L,LC,S4L-LC-IND3
136,39.2634436,-121.5062545,360,5139.306,S4L-m-IND3-DF,6115041001,IND,IND3,S4L,MC,S4L-MC-IND3
137,39.2634436,-121.5062545,360,4282.755,W1-m-IND3-DF,6115041001,IND,IND3,W1,MC,W1-MC-IND3
138,39.2634436,-121.5062545,360,4282.755,W2-m-IND3-DF,6115041001,IND,IND3,W2,MC,W2-MC-IND3
139,39.2634436,-121.5062545,360,2196,W1-m-IND5-DF,6115041001,IND,IND5,W1,MC,W1-MC-IND5
140,39.2634436,-121.5062545,360,1691.448,C2L-m-IND6-DF,6115041001,IND,IND6,C2L,MC,C2L-MC-IND6
141,39.2634436,-121.5062545,360,2562.8,PC1-m-IND6-DF,6115041001,IND,IND6,PC1,MC,PC1-MC-IND6
142,39.2634436,-121.5062545,360,871.3521,PC2L-m-IND6-DF,6115041001,IND,IND6,PC2L,MC,PC2L-MC-IND6
143,39.2634436,-121.5062545,360,834.4,RM1L-m-IND6-DF,6115041001,IND,IND6,RM1L,MC,RM1L-MC-IND6
144,39.2634436,-121.5062545,360,1668.8,S3-m-IND6-DF,6115041001,IND,IND6,S3,MC,S3-MC-IND6
145,39.2634436,-121.5062545,360,3432.96,W1-m-IND6-DF,6115041001,IND,IND6,W1,MC,W1-MC-IND6
146,39.2634436,-121.5062545,360,858.24,W2-m-IND6-DF,6115041001,IND,IND6,W2,MC,W2-MC-IND6
147,39.2634436,-121.5062545,360,1553.64,PC1-m-REL1-DF,6115041001,REL,REL1,PC1,MC,PC1-MC-REL1
148,39.2634436,-121.5062545,360,1553.64,S3-m-REL1-DF,6115041001,REL,REL1,S3,MC,S3-MC-REL1
149,39.2634436,-121.5062545,360,1600.72,W2-m-REL1-DF,6115041001,REL,REL1,W2,MC,W2-MC-REL1
150,39.2634436,-121.5062545,360,29983.68,W1-l-RES1-DF,6115041001,RES,RES1,W1,LC,W1-LC-RES1
151,39.2634436,-121.5062545,360,299836.8,W1-m-RES1-DF,6115041001,RES,RES1,W1,MC,W1-MC-RES1
152,39.2634436,-121.5062545,360,3331.52,W2-m-RES1-DF,6115041001,RES,RES1,W2,MC,W2-MC-RES1
153,39.2634436,-121.5062545,360,1311.72,MH-l-RES2-DF,6115041001,RES,RES2,MH,LC,MH-LC-RES2
154,39.2634436,-121.5062545,360,41975.04,MH-m-RES2-DF,6115041001,RES,RES2,MH,MC,MH-MC-RES2
155,39.2634436,-121.5062545,360,437.24,MH-p-RES2-DF,6115041001,RES,RES2,MH,PC,MH-PC-RES2
156,39.2634436,-121.5062545,360,2678.93,C2L-m-RES3AF-DF,6115041001,RES,RES3A,C2L,MC,C2L-MC-RES3
157,39.2634436,-121.5062545,360,400.2999,PC2L-m-RES3AF-DF,6115041001,RES,RES3A,PC2L,MC,PC2L-MC-RES3
158,39.2634436,-121.5062545,360,1319.67,RM1L-m-RES3AF-DF,6115041001,RES,RES3A,RM1L,MC,RM1L-MC-RES3
159,39.2634436,-121.5062545,360,870.9822,S1L-m-RES3AF-DF,6115041001,RES,RES3A,S1L,MC,S1L-MC-RES3
160,39.2634436,-121.5062545,360,1319.67,S3-m-RES3AF-DF,6115041001,RES,RES3A,S3,MC,S3-MC-RES3
161,39.2634436,-121.5062545,360,448.6878,S4L-m-RES3AF-DF,6115041001,RES,RES3A,S4L,MC,S4L-MC-RES3
162,39.2634436,-121.5062545,360,3695.076,W1-l-RES3AF-DF,6115041001,RES,RES3A,W1,LC,W1-LC-RES3
163,39.2634436,-121.5062545,360,30669.13,W1-m-RES3AF-DF,6115041001,RES,RES3A,W1,MC,W1-MC-RES3
164,39.2634436,-121.5062545,360,2586.553,W2-m-RES3AF-DF,6115041001,RES,RES3A,W2,MC,W2-MC-RES3
165,39.2634436,-121.5062545,360,727.77,C2L-m-RES3AF-DF,6115041001,RES,RES3B,C2L,MC,C2L-MC-RES3
166,39.2634436,-121.5062545,360,727.77,S4L-m-RES3AF-DF,6115041001,RES,RES3B,S4L,MC,S4L-MC-RES3
167,39.2634436,-121.5062545,360,1412.73,W1-m-RES3AF-DF,6115041001,RES,RES3B,W1,MC,W1-MC-RES3
168,39.2634436,-121.5062545,360,1412.73,W2-m-RES3AF-DF,6115041001,RES,RES3B,W2,MC,W2-MC-RES3
169,39.2634436,-121.5062545,360,1284,W1-m-RES3AF-DF,6115041001,RES,RES3C,W1,MC,W1-MC-RES3
170,39.2634436,-121.5062545,360,8319,RM1L-m-RES3AF-DF,6115041001,RES,RES3D,RM1L,MC,RM1L-MC-RES3
171,39.2634436,-121.5062545,360,4117,RM1L-m-RES6-DF,6115041001,RES,RES6,RM1L,MC,RM1L-MC-RES6
172,39.2634436,-121.5062545,360,8234,W1-m-RES6-DF,6115041001,RES,RES6,W1,MC,W1-MC-RES6
173,39.2634436,-121.5062545,360,8234,W2-m-RES6-DF,6115041001,RES,RES6,W2,MC,W2-MC-RES6
174,37.5814599,-122.3897966,360,1904.555,C2L-m-COM1-DF,6081605000,COM,COM1,C2L,MC,C2L-MC-COM1
175,37.5814599,-122.3897966,360,952.2775,C2M-m-COM1-DF,6081605000,COM,COM1,C2M,MC,C2M-MC-COM1
176,37.5814599,-122.3897966,360,952.2775,PC1-m-COM1-DF,6081605000,COM,COM1,PC1,MC,PC1-MC-COM1
177,37.5814599,-122.3897966,360,1455.368,RM1L-m-COM1-DF,6081605000,COM,COM1,RM1L,MC,RM1L-MC-COM1
178,37.5814599,-122.3897966,360,485.1225,RM2L-m-COM1-DF,6081605000,COM,COM1,RM2L,MC,RM2L-MC-COM1
179,37.5814599,-122.3897966,360,963.058,W1-m-COM1-DF,6081605000,COM,COM1,W1,MC,W1-MC-COM1
180,37.5814599,-122.3897966,360,474.342,W2-m-COM1-DF,6081605000,COM,COM1,W2,MC,W2-MC-COM1
181,37.5814599,-122.3897966,360,102,C2L-m-COM10-DF,6081605000,COM,COM10,C2L,MC,C2L-MC-COM10
182,37.5814599,-122.3897966,360,102,S4L-m-COM10-DF,6081605000,COM,COM10,S4L,MC,S4L-MC-COM10
183,37.5814599,-122.3897966,360,671.3616,C2L-m-COM2-DF,6081605000,COM,COM2,C2L,MC,C2L-MC-COM2
184,37.5814599,-122.3897966,360,671.3616,C2L-p-COM2-DF,6081605000,COM,COM2,C2L,PC,C2L-PC-COM2
185,37.5814599,-122.3897966,360,671.3616,C2M-m-COM2-DF,6081605000,COM,COM2,C2M,MC,C2M-MC-COM2
186,37.5814599,-122.3897966,360,2109.994,PC1-m-COM2-DF,6081605000,COM,COM2,PC1,MC,PC1-MC-COM2
187,37.5814599,-122.3897966,360,671.3616,PC1-h-COM2-DF,6081605000,COM,COM2,PC1,VC,PC1-VC-COM2
188,37.5814599,-122.3897966,360,682.11,RM2L-m-COM2-DF,6081605000,COM,COM2,RM2L,MC,RM2L-MC-COM2
