assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,occ,designlevel
749954,37.6619708,-122.1005195,360,145846.2,W1-m-RES1-DF,06001436700,RES,RES1,W1,MC,RES1,m
750021,33.8538097,-118.3586745,360,348175.0,W1-m-RES1-DF,06037650501,RES,RES1,W1,MC,RES1,m
750100,35.394333,-119.0146151,360,21325.02,W1-m-RES1-DF,06029000602,RES,RES1,W1,MC,RES1,m
750215,37.7068496,-121.9419577,360,236881.1,W1-m-RES1-DF,06001450501,RES,RES1,W1,MC,RES1,m
750453,38.7523489,-121.2454992,360,745168.9,W1-m-RES1-DF,06061020717,RES,RES1,W1,MC,RES1,m
750526,33.9567675,-118.1550245,360,15059.7,W1-m-RES1-DF,06037534203,RES,RES1,W1,MC,RES1,m
750617,38.3935118,-122.3655355,360,65695.74,W1-m-RES1-DF,06055201300,RES,RES1,W1,MC,RES1,m
750709,39.1620236,-122.7065788,360,143382.4,W1-m-RES1-DF,06033000501,RES,RES1,W1,MC,RES1,m
750756,35.3035181,-119.1234186,360,24377.05,W1-m-RES1-DF,06029003135,RES,RES1,W1,MC,RES1,m
750833,32.8226369,-117.195777,360,492637.8,W1-m-RES1-DF,06073008504,RES,RES1,W1,MC,RES1,m
750939,34.1655638,-118.1005901,360,454821.4,W1-m-RES1-DF,06037462500,RES,RES1,W1,MC,RES1,m
751098,37.7821241,-122.4070181,360,12643.75,W1-m-RES1-DF,06075017602,RES,RES1,W1,MC,RES1,m
751220,33.7861755,-118.153488,360,52302.39,W1-m-RES1-DF,06037575103,RES,RES1,W1,MC,RES1,m
751324,33.88346,-117.9820593,360,820572.8,W1-m-RES1-DF,06059110604,RES,RES1,W1,MC,RES1,m
751472,34.0918484,-118.3720584,360,163406.4,W1-m-RES1-DF,06037700300,RES,RES1,W1,MC,RES1,m
751634,35.5387479,-117.3220048,360,152490.1,W1-m-RES1-DF,06071008901,RES,RES1,W1,MC,RES1,m
751700,38.5499802,-121.7836865,360,136046.0,W1-m-RES1-DF,06113010513,RES,RES1,W1,MC,RES1,m
751785,32.7531727,-117.0830585,360,37802.95,W1-m-RES1-DF,06073002708,RES,RES1,W1,MC,RES1,m
751825,33.8965004,-117.2043216,360,110045.5,W1-m-RES1-DF,06065051100,RES,RES1,W1,MC,RES1,m
751877,38.6950515,-121.3319913,360,262199.0,W1-m-RES1-DF,06067008130,RES,RES1,W1,MC,RES1,m
751961,37.4995558,-120.8633794,360,285072.0,W1-m-RES1-DF,06099003804,RES,RES1,W1,MC,RES1,m
752058,38.7794828,-121.2860177,360,470385.0,W1-m-RES1-DF,06061022600,RES,RES1,W1,MC,RES1,m
752108,39.1205322,-121.5518813,360,556554.8,W1-m-RES1-DF,06115040304,RES,RES1,W1,MC,RES1,m
752177,33.6777922,-117.1883297,360,110504.9,W1-m-RES1-DF,06065042742,RES,RES1,W1,MC,RES1,m
752292,37.6736928,-121.8685808,360,207601.4,W1-m-RES1-DF,06001450746,RES,RES1,W1,MC,RES1,m
752342,34.2407445,-117.1996441,360,245473.1,W1-m-RES1-DF,06071011003,RES,RES1,W1,MC,RES1,m
752375,40.9377433,-124.1181345,360,154654.5,W1-m-RES1-DF,06023010504,RES,RES1,W1,MC,RES1,m
752429,37.402805,-121.8713866,360,229871.0,W1-m-RES1-DF,06085504320,RES,RES1,W1,MC,RES1,m
752453,34.0871531,-118.2791664,360,60131.2,W1-m-RES1-DF,06037195902,RES,RES1,W1,MC,RES1,m
752628,34.0188907,-118.4789709,360,49700.05,W1-m-RES1-DF,06037701802,RES,RES1,W1,MC,RES1,m
753019,35.3769582,-119.0153949,360,36777.35,W1-m-RES1-DF,06029001600,RES,RES1,W1,MC,RES1,m
753126,38.5552363,-121.5350372,360,76534.0,W1-m-RES1-DF,06113010315,RES,RES1,W1,MC,RES1,m
753263,34.4273594,-119.6856662,360,91485.59,W1-m-RES1-DF,06083000801,RES,RES1,W1,MC,RES1,m
753341,33.9397051,-118.261893,360,88003.52,W1-m-RES1-DF,06037240800,RES,RES1,W1,MC,RES1,m
753403,34.2238449,-118.8199928,360,41652.36,W1-m-RES1-DF,06111007510,RES,RES1,W1,MC,RES1,m
753504,34.0678503,-118.2202429,360,30648.85,W1-m-RES1-DF,06037199700,RES,RES1,W1,MC,RES1,m
753577,37.6786744,-122.1161142,360,313273.6,W1-m-RES1-DF,06001435700,RES,RES1,W1,MC,RES1,m
753632,34.0100779,-118.4473997,360,523768.0,W1-m-RES1-DF,06037271400,RES,RES1,W1,MC,RES1,m
753665,32.5727786,-117.1057141,360,80269.2,W1-m-RES1-DF,06073010402,RES,RES1,W1,MC,RES1,m
