AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"162",39.263444,-121.506255,360,3695.08,"W1-l-RES3AF-DF","6115041001","RES","RES3A","W1","LC",NaN
"163",39.263444,-121.506255,360,30669.13,"W1-m-RES3AF-DF","6115041001","RES","RES3A","W1","MC",NaN
"164",39.263444,-121.506255,360,2586.55,"W2-m-RES3AF-DF","6115041001","RES","RES3A","W2","MC",NaN
"165",39.263444,-121.506255,360,727.77,"C2L-m-RES3AF-DF","6115041001","RES","RES3B","C2L","MC",NaN
"166",39.263444,-121.506255,360,727.77,"S4L-m-RES3AF-DF","6115041001","RES","RES3B","S4L","MC",NaN
"167",39.263444,-121.506255,360,1412.73,"W1-m-RES3AF-DF","6115041001","RES","RES3B","W1","MC",NaN
"168",39.263444,-121.506255,360,1412.73,"W2-m-RES3AF-DF","6115041001","RES","RES3B","W2","MC",NaN
"169",39.263444,-121.506255,360,1284.00,"W1-m-RES3AF-DF","6115041001","RES","RES3C","W1","MC",NaN
"170",39.263444,-121.506255,360,8319.00,"RM1L-m-RES3AF-DF","6115041001","RES","RES3D","RM1L","MC",NaN
"171",39.263444,-121.506255,360,4117.00,"RM1L-m-RES6-DF","6115041001","RES","RES6","RM1L","MC",NaN
"172",39.263444,-121.506255,360,8234.00,"W1-m-RES6-DF","6115041001","RES","RES6","W1","MC",NaN
"173",39.263444,-121.506255,360,8234.00,"W2-m-RES6-DF","6115041001","RES","RES6","W2","MC",NaN
"174",37.581460,-122.389797,360,1904.56,"C2L-m-COM1-DF","6081605000","COM","COM1","C2L","MC",NaN
"175",37.581460,-122.389797,360,952.28,"C2M-m-COM1-DF","6081605000","COM","COM1","C2M","MC",NaN
"176",37.581460,-122.389797,360,952.28,"PC1-m-COM1-DF","6081605000","COM","COM1","PC1","MC",NaN
"177",37.581460,-122.389797,360,1455.37,"RM1L-m-COM1-DF","6081605000","COM","COM1","RM1L","MC",NaN
"178",37.581460,-122.389797,360,485.12,"RM2L-m-COM1-DF","6081605000","COM","COM1","RM2L","MC",NaN
"179",37.581460,-122.389797,360,963.06,"W1-m-COM1-DF","6081605000","COM","COM1","W1","MC",NaN
"180",37.581460,-122.389797,360,474.34,"W2-m-COM1-DF","6081605000","COM","COM1","W2","MC",NaN
"181",37.581460,-122.389797,360,102.00,"C2L-m-COM10-DF","6081605000","COM","COM10","C2L","MC",NaN
"182",37.581460,-122.389797,360,102.00,"S4L-m-COM10-DF","6081605000","COM","COM10","S4L","MC",NaN
